pitch_variability,pause_ratio,speaking_rate,pitch_mean,jitter,voice_distress_z
19.05,0.2816,3.52,142.3,0.01612,0.66
22.36,0.1955,4.39,174.6,0.00723,-0.353
31.47,0.166,3.51,154.9,0.01357,-0.716
21.42,0.2703,2.92,155.9,0.01871,0.769
16.59,0.2744,3.29,160.8,0.01894,0.929
19.95,0.2683,3.17,182.7,0.01496,0.603
23.34,0.1645,4.46,161.7,0.01202,-0.614
25.71,0.1899,3.77,139.8,0.01198,-0.477
22.83,0.2476,3.16,176.1,0.01129,0.534
20.48,0.3006,3.0,155.1,0.01545,0.812
24.61,0.1599,3.4,167.1,0.01174,-0.079
25.19,0.2433,3.36,168.6,0.0113,0.122
28.23,0.096,4.5,178.3,0.01075,-1.173
31.09,0.05,4.52,191.7,0.01175,-1.626
17.74,0.331,3.26,154.3,0.01519,1.083
15.72,0.3474,2.34,180.5,0.02155,1.831
22.4,0.2141,3.53,160.9,0.0136,0.185
19.78,0.3847,2.68,183.5,0.01898,1.545
23.73,0.2553,3.75,172.6,0.00988,0.034
27.08,0.1671,3.78,159.7,0.01058,-0.56
22.09,0.209,3.08,162.7,0.01168,0.181
12.64,0.365,2.76,166.7,0.02511,1.951
23.6,0.2408,3.43,179.8,0.01296,0.292
15.29,0.3142,3.18,190.7,0.01954,1.381
43.65,0.05,4.82,178.8,0.01428,-2.461
17.26,0.3062,2.73,170.2,0.01524,1.175
26.45,0.2304,2.91,156.2,0.01737,0.148
27.64,0.2316,3.76,148.8,0.01185,-0.172
24.06,0.2426,3.38,171.5,0.00899,0.002
38.45,0.0804,4.26,149.4,0.00857,-1.887
25.95,0.1583,4.08,192.7,0.01304,-0.603
22.81,0.2611,3.6,149.7,0.01368,0.266
15.77,0.3712,2.78,186.8,0.02353,1.708
29.3,0.1254,4.29,188.5,0.01684,-0.966
30.64,0.1774,4.24,174.0,0.0099,-1.119
25.51,0.2628,3.63,167.6,0.01218,0.074
16.33,0.3109,2.78,161.5,0.02358,1.236
21.79,0.2731,3.66,148.2,0.01544,0.445
25.31,0.1704,4.01,176.6,0.00718,-0.595
21.05,0.2428,3.37,193.8,0.01762,0.3
25.94,0.1569,3.29,159.6,0.00929,-0.355
17.76,0.2886,3.25,159.5,0.02397,0.979
27.78,0.0941,3.76,128.1,0.00953,-0.783
25.92,0.2554,3.75,150.3,0.02091,0.108
27.85,0.1762,4.25,163.3,0.0164,-0.631
27.56,0.0598,4.21,189.0,0.00961,-1.116
21.16,0.2852,2.97,178.7,0.01443,0.772
22.99,0.2012,3.14,172.7,0.01635,0.32
26.37,0.1898,3.9,159.1,0.01439,-0.321
24.31,0.1993,3.81,156.3,0.01333,-0.283
28.03,0.1196,4.34,186.1,0.01576,-0.84
27.55,0.198,3.68,168.0,0.01163,-0.473
24.61,0.1957,3.93,133.5,0.0109,-0.236
26.03,0.1429,3.79,154.9,0.01096,-0.675
23.64,0.2199,3.78,152.1,0.01458,0.027
21.41,0.2685,3.16,161.7,0.01633,0.783
12.42,0.3674,2.29,196.1,0.02796,2.173
18.63,0.2393,3.31,165.5,0.01578,0.59
24.38,0.2028,3.35,166.9,0.00791,0.007
26.96,0.2158,3.63,184.7,0.01293,-0.23
35.86,0.05,4.73,154.6,0.01266,-1.825
21.87,0.3189,2.51,193.0,0.01701,1.138
23.27,0.2244,3.32,155.7,0.0079,0.103
10.44,0.4102,2.13,195.9,0.03638,2.653
26.26,0.1954,4.16,160.8,0.01223,-0.571
23.68,0.2709,3.11,170.5,0.01588,0.465
22.72,0.2835,3.67,171.7,0.01703,0.364
30.59,0.0796,4.69,171.5,0.01368,-1.519
18.63,0.271,2.58,167.4,0.02234,1.123
22.78,0.3279,3.3,157.2,0.01874,0.934
21.06,0.2439,2.92,212.0,0.01688,0.585
30.58,0.1116,3.95,157.7,0.01191,-1.022
16.45,0.35,2.59,192.3,0.02108,1.67
34.53,0.077,4.15,140.9,0.01187,-1.473
21.59,0.3063,4.09,167.8,0.00969,0.252
10.23,0.4117,2.65,189.4,0.03081,2.377
32.25,0.11,4.48,172.1,0.01163,-1.355
28.51,0.1628,4.06,124.2,0.01099,-0.73
22.57,0.2359,3.06,168.7,0.01346,0.403
25.81,0.1736,4.0,147.8,0.0077,-0.679
33.12,0.0824,4.77,169.9,0.01779,-1.643
24.55,0.2606,3.31,150.3,0.01224,0.181
30.24,0.1295,4.47,152.2,0.01156,-1.234
22.02,0.2855,3.55,166.6,0.01289,0.44
32.46,0.0648,4.66,149.2,0.01207,-1.643
17.62,0.377,2.62,176.5,0.02856,1.901
28.69,0.1609,3.7,147.1,0.01511,-0.589
27.65,0.217,3.67,137.5,0.01456,-0.176
17.46,0.2737,3.58,190.0,0.02015,0.796
31.57,0.0706,3.73,145.6,0.01092,-1.08
26.37,0.2198,2.85,165.0,0.00947,0.195
16.37,0.3722,2.91,192.0,0.02185,1.506
31.15,0.1006,4.35,155.8,0.01129,-1.446
21.68,0.2222,3.5,154.8,0.01662,0.296
20.39,0.2823,3.74,171.5,0.01501,0.43
18.13,0.3031,3.0,191.2,0.02309,1.081
30.06,0.0913,3.72,147.5,0.01559,-1.028
28.45,0.0795,4.94,162.7,0.01063,-1.49
21.16,0.3021,3.01,145.3,0.01079,0.894
24.17,0.2627,3.12,162.7,0.01853,0.452
20.81,0.3361,3.79,168.5,0.01808,0.741
25.13,0.2206,3.29,156.3,0.01067,0.041
28.76,0.1727,3.95,158.1,0.01653,-0.698
24.78,0.2221,3.62,146.7,0.015,0.055
21.07,0.2145,3.76,169.7,0.01483,0.044
29.64,0.1481,3.89,180.8,0.01684,-0.719
11.55,0.4121,3.03,170.9,0.03096,2.115
23.17,0.3841,2.7,161.3,0.01774,1.309
30.9,0.0935,4.48,172.5,0.01342,-1.435
21.5,0.2404,2.99,191.1,0.0191,0.662
27.01,0.1335,4.55,142.6,0.0108,-1.071
17.88,0.2157,3.21,171.9,0.01813,0.6
18.82,0.3322,2.76,183.2,0.01856,0.99
26.62,0.1386,4.25,163.5,0.011,-0.652
19.63,0.3481,3.34,139.4,0.01861,1.079
19.0,0.3002,3.57,177.5,0.0134,0.631
21.18,0.2821,2.84,197.7,0.01899,0.801
11.1,0.4037,2.41,189.5,0.0262,2.306
26.45,0.1648,3.73,149.5,0.01351,-0.369
29.4,0.0995,4.0,157.3,0.00713,-1.257
27.5,0.1434,4.31,191.5,0.01166,-0.885
29.65,0.0875,3.44,178.6,0.01239,-0.698
24.94,0.1957,3.74,174.6,0.01107,-0.332
21.05,0.2143,3.33,174.4,0.01421,0.329
20.46,0.2697,3.2,158.4,0.00946,0.755
15.53,0.3748,2.92,171.9,0.01969,1.663
24.63,0.1692,3.53,164.0,0.01405,-0.18
12.88,0.2912,1.72,190.7,0.02511,2.099
25.65,0.1885,3.54,187.6,0.01512,-0.193
8.51,0.4926,1.84,214.4,0.03437,3.37
21.92,0.2913,3.42,151.2,0.01844,0.581
28.11,0.1164,3.83,168.4,0.01247,-0.951
29.23,0.1049,4.12,176.1,0.01406,-1.055
22.81,0.2829,3.8,180.1,0.01113,0.16
25.9,0.2393,4.02,155.6,0.00932,-0.294
20.71,0.2132,3.48,217.3,0.02247,0.373
22.34,0.2526,3.19,151.5,0.0084,0.471
21.33,0.2213,3.8,148.8,0.01158,0.132
30.17,0.0986,4.0,168.5,0.01552,-1.009
33.56,0.1378,4.37,196.8,0.01172,-1.31
24.42,0.1499,3.97,152.5,0.01078,-0.592
18.8,0.304,2.95,171.3,0.01924,0.913
22.74,0.2637,3.93,183.7,0.01265,0.132
30.58,0.0718,4.24,164.7,0.01209,-1.266
23.72,0.1635,3.69,162.1,0.01134,-0.279
24.74,0.2414,3.82,178.1,0.01841,-0.006
31.02,0.1728,4.4,169.1,0.01627,-0.906
20.53,0.2219,3.09,182.3,0.01283,0.465
24.92,0.192,3.7,185.1,0.00831,-0.143
32.94,0.1427,4.48,169.6,0.01043,-1.22
22.81,0.2425,3.67,173.7,0.01431,0.25
23.1,0.2557,2.96,174.9,0.018,0.65
22.07,0.3343,2.81,185.3,0.01764,0.945
20.25,0.3562,3.32,178.5,0.01812,1.083
32.08,0.1775,4.13,165.0,0.01353,-0.88
31.25,0.1593,4.03,182.9,0.01482,-0.819
21.46,0.3179,3.79,193.9,0.01426,0.56
21.22,0.2511,3.3,148.6,0.01211,0.48
20.46,0.2305,3.1,171.3,0.02597,0.922
5.94,0.6078,1.22,200.9,0.04517,4.0
19.22,0.2814,3.39,167.2,0.01577,0.791
20.82,0.2904,2.58,184.7,0.02369,1.102
19.75,0.3084,3.0,186.5,0.01926,1.086
17.62,0.3011,3.34,171.1,0.01981,1.056
26.47,0.2029,4.16,136.3,0.01248,-0.449
15.63,0.3161,3.38,159.6,0.01835,1.264
29.5,0.1544,3.81,178.4,0.01166,-0.797
27.07,0.176,4.08,123.9,0.00766,-0.704
25.48,0.1509,3.78,182.8,0.01781,-0.361
23.8,0.1802,3.18,173.8,0.00983,0.073
15.18,0.5229,2.28,212.5,0.02644,2.666
33.26,0.05,5.06,162.0,0.01136,-1.873
18.11,0.2796,3.27,142.3,0.01461,0.761
35.83,0.05,4.49,171.5,0.01184,-1.965
30.52,0.2902,4.35,184.1,0.01406,-0.406
18.02,0.286,2.57,191.9,0.0237,1.294
25.67,0.2093,3.18,155.8,0.01496,0.128
32.61,0.1289,3.71,166.3,0.01108,-0.996
26.45,0.1725,4.11,157.0,0.01215,-0.61
19.29,0.3263,3.28,160.9,0.01866,0.987
30.48,0.2193,4.46,179.3,0.00673,-0.885
26.18,0.2619,3.55,149.6,0.01544,0.085
24.88,0.1823,3.45,152.1,0.00799,-0.224
25.82,0.1446,3.96,148.4,0.01812,-0.537
16.18,0.4467,2.46,168.4,0.02794,2.277
19.45,0.3661,2.75,174.8,0.01652,1.373
34.47,0.05,5.53,182.4,0.00969,-2.11
23.66,0.2867,3.65,164.5,0.0116,0.285
30.75,0.161,4.03,142.4,0.01882,-0.813
21.02,0.3388,3.32,187.8,0.02164,1.176
29.19,0.1367,4.25,190.3,0.00735,-1.012
25.56,0.1748,3.62,155.3,0.01651,-0.151
21.31,0.3005,3.13,163.9,0.01962,0.883
20.35,0.3328,3.3,183.1,0.01808,0.981
25.54,0.1389,4.38,189.3,0.01292,-0.735
25.25,0.186,3.54,157.2,0.01196,-0.284
27.09,0.1485,4.29,145.0,0.01792,-0.691
25.29,0.0923,4.05,174.5,0.00961,-0.964
15.06,0.4293,2.85,198.2,0.02656,1.994
21.36,0.2775,3.79,170.0,0.01396,0.292
34.45,0.0553,4.3,156.6,0.0077,-1.711
22.1,0.2902,3.19,190.9,0.02592,0.838
11.4,0.4135,2.68,198.4,0.02543,2.275
18.02,0.2639,2.81,165.9,0.02092,1.079
32.21,0.05,4.45,165.7,0.00678,-1.75
25.76,0.1262,3.9,144.7,0.0108,-0.683
17.42,0.3302,2.62,190.5,0.0234,1.573
26.38,0.1197,4.68,161.1,0.00953,-1.017
19.3,0.1993,2.93,163.8,0.01731,0.503
20.98,0.3784,2.78,173.8,0.01739,1.186
30.36,0.1774,4.5,165.6,0.01548,-1.0
22.72,0.1829,3.85,178.4,0.01609,-0.042
43.62,0.05,5.07,173.9,0.01024,-2.5
28.37,0.1343,4.35,162.7,0.01223,-1.048
25.9,0.2424,4.18,176.5,0.01255,-0.257
32.5,0.0625,4.28,171.0,0.01386,-1.336
14.95,0.4269,3.48,178.2,0.0251,1.728
32.78,0.0551,3.87,163.1,0.01257,-1.251
25.39,0.1226,4.05,162.8,0.01127,-0.633
22.89,0.262,3.88,174.1,0.01339,0.069
15.66,0.4158,3.07,176.8,0.02742,1.808
30.4,0.1799,4.33,159.1,0.01394,-0.875
17.25,0.2883,2.87,208.5,0.02341,1.226
20.85,0.249,3.73,179.2,0.01425,0.371
28.42,0.1055,4.38,153.6,0.01154,-1.093
20.89,0.2975,3.53,179.1,0.01665,0.392
22.39,0.1811,3.8,169.2,0.01034,-0.283
26.82,0.1095,3.62,170.9,0.01581,-0.773
23.49,0.1959,3.49,167.9,0.00421,-0.123
27.08,0.1846,3.53,182.8,0.01174,-0.297
25.12,0.2057,3.42,171.5,0.01633,0.037
19.06,0.3126,3.54,172.0,0.01321,0.672
12.87,0.4197,2.76,199.7,0.02589,2.191
28.72,0.1202,5.06,168.5,0.00996,-1.358
11.29,0.4981,2.48,192.4,0.02796,2.622
34.03,0.05,4.69,169.7,0.01484,-1.923
23.29,0.1561,3.72,163.6,0.01259,-0.267
18.17,0.3334,3.09,172.2,0.0106,1.203
21.54,0.2239,3.43,159.6,0.01132,0.377
27.79,0.1941,4.28,153.7,0.01493,-0.57
26.33,0.2621,3.75,150.0,0.01335,-0.077
25.6,0.189,3.63,144.1,0.01724,-0.097
26.42,0.1012,3.65,151.8,0.01705,-0.634
17.47,0.2682,3.0,172.6,0.01777,0.917
21.97,0.3086,3.43,170.8,0.02237,0.564
26.11,0.1439,4.34,160.9,0.01207,-0.781
20.2,0.3131,2.7,140.5,0.01631,1.055
18.74,0.2811,3.34,192.3,0.01256,0.728
18.81,0.3291,3.2,191.1,0.01173,0.784
21.14,0.2941,2.7,179.2,0.02186,1.062
28.93,0.1288,3.81,193.6,0.01678,-0.913
32.47,0.1515,3.7,150.3,0.00895,-0.833
20.59,0.329,2.95,202.3,0.01729,1.092
18.63,0.3032,3.32,157.8,0.01717,0.872
23.92,0.2076,3.56,168.6,0.00912,-0.029
19.8,0.275,3.37,147.3,0.00767,0.46
16.81,0.3426,3.03,180.6,0.02159,1.383
25.59,0.1268,4.44,170.8,0.01104,-0.826
22.82,0.2444,3.79,169.2,0.01521,-0.109
24.01,0.1606,3.13,175.7,0.01267,-0.064
24.96,0.1873,3.89,166.5,0.01629,-0.269
16.69,0.3792,2.94,170.3,0.01988,1.536
22.94,0.2703,3.19,166.4,0.01911,0.687
18.88,0.3089,3.03,186.9,0.02069,0.997
20.48,0.3243,2.92,170.9,0.02411,1.104
25.51,0.2117,3.63,179.0,0.01032,-0.325
21.21,0.2278,3.05,191.5,0.01774,0.666
26.44,0.1802,3.5,140.0,0.01364,-0.273
23.0,0.2447,3.29,185.9,0.01121,0.262
20.86,0.2286,3.74,195.9,0.01579,0.224
22.91,0.2386,3.73,169.9,0.01707,0.217
22.42,0.2316,3.53,181.1,0.01459,0.248
28.4,0.1815,3.9,180.6,0.01258,-0.358
9.68,0.4377,2.53,186.0,0.03067,2.626
29.43,0.1273,4.44,167.7,0.01036,-1.179
34.09,0.0982,4.62,145.3,0.01344,-1.639
20.12,0.3151,2.95,181.0,0.02175,1.059
19.52,0.3079,3.1,182.0,0.01393,0.791
22.47,0.3014,3.31,180.2,0.01837,0.668
19.81,0.213,2.91,188.5,0.01373,0.639
20.66,0.1972,3.55,153.4,0.01482,0.133
27.09,0.1201,4.32,157.0,0.00999,-1.037
26.71,0.2378,3.75,194.3,0.01212,-0.043
27.18,0.2,3.89,162.7,0.01612,-0.471
18.15,0.2866,3.13,179.7,0.02129,0.84
24.21,0.1854,3.43,164.0,0.00876,-0.224
32.35,0.1169,4.27,152.7,0.00896,-1.435
29.02,0.1558,3.75,189.4,0.0102,-0.655
26.17,0.2474,3.29,162.0,0.01649,0.157
26.78,0.1945,3.8,148.1,0.01307,-0.377
29.11,0.0956,4.03,158.2,0.00947,-0.99
19.63,0.2615,3.33,137.9,0.01045,0.496
25.61,0.1764,3.66,158.2,0.0148,-0.21
24.45,0.1469,3.76,150.5,0.01145,-0.296
27.02,0.1597,4.34,174.3,0.01847,-0.72
20.53,0.3102,3.91,157.7,0.01397,0.546
30.79,0.0642,4.13,178.3,0.01744,-1.264
30.07,0.05,4.4,186.0,0.00849,-1.44
26.74,0.0682,3.8,176.7,0.00728,-1.099
24.1,0.2,3.62,161.8,0.00864,-0.281
21.19,0.2756,4.03,170.8,0.01805,0.276
17.55,0.3826,2.7,159.8,0.02907,1.689
17.07,0.3125,3.24,173.3,0.01651,1.021
25.32,0.2505,3.85,152.1,0.01062,-0.108
26.54,0.1965,3.31,175.4,0.00849,-0.124
28.49,0.1555,3.89,203.6,0.00657,-0.804
22.67,0.1529,3.25,172.5,0.01416,-0.071
25.13,0.1549,3.49,135.1,0.01267,-0.314
24.58,0.18,2.57,163.5,0.01461,0.242
28.94,0.1263,4.22,166.8,0.0078,-1.127
20.08,0.2701,3.93,172.5,0.02107,0.317
16.54,0.3778,2.8,172.4,0.02275,1.668
22.39,0.2116,3.23,168.7,0.0136,0.211
23.15,0.2231,3.19,151.2,0.01085,0.315
21.02,0.2814,3.08,159.1,0.01695,0.641
25.59,0.12,3.52,174.7,0.01287,-0.513
21.09,0.2969,3.73,152.5,0.01477,0.634
22.16,0.2091,3.84,173.2,0.01256,-0.103
24.53,0.2102,3.2,145.6,0.01426,0.122
30.71,0.2063,4.24,191.5,0.00861,-0.925
22.59,0.1728,4.04,153.7,0.01279,-0.407
22.18,0.2248,3.9,167.6,0.01633,0.19
11.84,0.3213,3.66,187.4,0.0243,1.369
17.55,0.3132,2.8,168.0,0.01989,1.294
12.1,0.4526,3.26,193.0,0.02541,1.953
26.4,0.1729,3.92,173.6,0.00805,-0.525
17.33,0.4101,2.94,189.9,0.01234,1.619
21.66,0.1484,3.6,179.1,0.01592,0.0
12.54,0.4633,2.22,188.7,0.032,2.732
28.07,0.1169,4.16,162.8,0.01453,-1.001
24.14,0.1126,3.67,200.2,0.01292,-0.451
23.06,0.1353,3.86,179.2,0.0056,-0.456
34.47,0.05,5.15,151.2,0.00892,-2.276
27.81,0.2348,3.87,166.5,0.01251,-0.386
22.68,0.1778,4.06,160.0,0.01241,-0.225
22.17,0.236,3.66,164.8,0.01253,0.234
21.07,0.3082,3.76,150.7,0.01584,0.417
16.46,0.3471,2.07,181.3,0.02704,1.998
18.0,0.2618,3.25,203.6,0.01997,0.842
27.94,0.0752,3.84,173.7,0.01008,-0.933
29.22,0.1022,4.14,127.6,0.01495,-1.081
17.03,0.2757,3.65,189.2,0.01464,0.747
32.8,0.0921,3.97,181.3,0.00801,-1.257
14.36,0.4091,2.29,181.6,0.02434,2.161
18.53,0.2815,2.37,189.9,0.02039,1.292
34.43,0.2052,3.69,152.1,0.01498,-0.776
29.25,0.0583,4.94,157.9,0.01187,-1.493
20.0,0.3847,2.82,203.7,0.02227,1.446
24.06,0.1328,3.26,160.9,0.00825,-0.345
17.77,0.3562,2.77,151.8,0.02426,1.471
32.68,0.05,4.03,164.1,0.01004,-1.481
26.45,0.1442,3.59,163.8,0.0117,-0.415
22.83,0.2419,3.71,183.0,0.01648,0.075
24.4,0.2283,3.22,165.8,0.0139,0.358
23.44,0.1409,4.18,158.7,0.00712,-0.609
22.08,0.2825,3.24,188.2,0.01167,0.583
29.04,0.052,4.21,166.8,0.01181,-1.316
22.52,0.2518,3.59,153.7,0.00836,0.177
22.44,0.2238,3.77,183.8,0.01491,0.072
23.68,0.3162,3.55,174.1,0.01624,0.591
19.02,0.2701,3.31,173.6,0.01819,0.752
30.9,0.0866,4.39,167.7,0.00988,-1.328
30.98,0.05,4.38,148.9,0.01722,-1.469
18.49,0.3828,3.06,172.4,0.03075,1.577
23.54,0.2249,3.32,169.0,0.01382,0.142
31.81,0.1709,4.01,162.1,0.01306,-0.778
15.12,0.3598,2.66,202.7,0.0247,1.702
24.7,0.1525,3.4,169.6,0.01215,-0.261
17.71,0.3151,2.74,192.0,0.01894,1.267
26.22,0.1796,3.7,166.0,0.00929,-0.427
11.23,0.4274,2.86,205.6,0.02508,2.274
15.84,0.3479,2.99,192.0,0.02726,1.539
24.98,0.2321,3.36,165.2,0.01044,0.186
18.53,0.3135,3.45,176.5,0.01204,0.743
20.63,0.2774,3.15,158.4,0.0185,0.771
16.98,0.3831,3.03,189.0,0.02283,1.493
29.07,0.1621,3.86,164.4,0.01604,-0.59
20.66,0.2878,3.27,165.7,0.01861,0.748
21.33,0.295,3.11,194.3,0.01603,0.754
35.64,0.05,4.12,146.2,0.00531,-1.697
32.25,0.0742,4.43,158.7,0.00984,-1.6
34.3,0.05,5.13,180.4,0.01012,-2.044
23.7,0.1973,3.7,169.7,0.01483,-0.139
21.96,0.2779,3.61,172.9,0.01771,0.462
17.49,0.3978,2.72,186.8,0.02742,1.698
26.54,0.2029,3.81,168.6,0.00862,-0.434
13.83,0.3806,2.04,161.8,0.02792,2.263
31.13,0.1293,5.08,159.8,0.01416,-1.332
30.09,0.0633,4.99,189.2,0.00595,-1.758
23.52,0.212,3.55,155.1,0.01597,0.214
23.88,0.2343,2.8,164.8,0.01535,0.501
23.25,0.1914,3.7,156.9,0.01318,-0.133
36.65,0.05,4.3,163.7,0.00941,-1.755
24.11,0.1894,3.78,156.3,0.01583,-0.126
31.82,0.1198,4.44,172.3,0.00844,-1.406
18.02,0.2781,2.95,176.0,0.01985,1.076
22.15,0.2027,3.73,181.0,0.01739,0.041
23.19,0.1967,4.36,149.2,0.00908,-0.594
26.45,0.1814,4.18,159.9,0.01795,-0.416
26.56,0.0578,4.19,161.6,0.01269,-1.012
26.76,0.1961,3.21,171.8,0.01396,0.078
20.3,0.3199,3.37,164.6,0.01506,0.84
30.35,0.1896,4.06,178.7,0.01835,-0.666
24.27,0.2261,2.91,188.8,0.01236,0.396
25.02,0.206,4.3,150.2,0.01507,-0.326
31.86,0.1967,4.67,157.6,0.00902,-0.996
26.45,0.1842,3.65,157.0,0.01014,-0.359
29.22,0.1054,4.82,204.5,0.01437,-1.345
29.32,0.1232,3.93,158.6,0.01508,-0.907
28.38,0.0921,4.14,190.2,0.00819,-1.078
11.54,0.415,2.33,169.6,0.03099,2.35
22.59,0.2499,4.07,150.6,0.01542,0.114
26.79,0.1936,3.75,154.7,0.00919,-0.352
20.71,0.2115,3.7,154.9,0.01851,0.271
27.06,0.1301,3.49,161.0,0.00763,-0.579
24.7,0.1971,3.58,154.4,0.01013,-0.039
21.33,0.2932,3.57,160.1,0.01835,0.655
18.69,0.3057,3.07,191.5,0.0155,0.943
23.28,0.1539,3.77,183.4,0.01279,-0.344
27.71,0.1674,4.26,179.2,0.01272,-0.815
21.69,0.2531,4.23,172.9,0.01144,0.035
36.52,0.05,5.06,166.4,0.0145,-2.217
29.6,0.0535,4.24,157.5,0.01131,-1.268
20.46,0.3367,2.7,167.1,0.02363,1.407
16.78,0.3777,2.72,190.2,0.0286,1.701
25.58,0.2606,3.83,147.4,0.01437,-0.016
23.36,0.2703,2.99,157.0,0.01897,0.637
20.6,0.2503,3.65,186.0,0.01104,0.38
8.15,0.5086,1.93,230.5,0.03821,3.5
18.24,0.3759,2.47,184.3,0.01832,1.495
25.23,0.2856,3.39,181.6,0.00816,0.209
31.8,0.1425,3.97,161.3,0.01178,-1.017
34.3,0.0627,4.46,144.9,0.00929,-1.861
23.46,0.2418,4.05,176.6,0.016,-0.059
24.85,0.05,4.09,173.5,0.01444,-0.919
29.9,0.1076,4.13,166.1,0.00629,-1.197
27.31,0.1607,4.02,161.4,0.00952,-0.812
30.14,0.129,4.09,179.4,0.00762,-0.831
12.46,0.3603,2.77,170.5,0.02411,1.904
23.97,0.2928,3.29,164.0,0.02042,0.584
27.08,0.2028,3.97,149.9,0.01127,-0.534
17.06,0.4089,2.78,184.0,0.02207,1.78
23.72,0.2126,4.05,149.6,0.01652,-0.163
28.31,0.2172,4.35,154.7,0.00509,-0.88
13.72,0.3895,2.55,172.7,0.0279,1.996
21.19,0.2229,3.97,167.6,0.01468,0.128
30.22,0.1111,4.27,142.7,0.01177,-1.005
22.56,0.1749,3.45,166.3,0.01042,-0.026
29.48,0.05,4.58,183.7,0.01663,-1.35
31.29,0.1457,4.98,167.0,0.00831,-1.473
15.09,0.3407,3.08,199.2,0.01944,1.415
11.78,0.4323,2.4,207.9,0.02886,2.556
30.86,0.0868,4.32,176.7,0.00717,-1.262
24.68,0.221,3.5,172.9,0.01374,0.135
28.69,0.1356,4.34,165.3,0.01156,-1.082
24.01,0.205,4.04,176.5,0.00934,-0.309
28.23,0.1187,3.96,159.1,0.00955,-0.871
25.66,0.05,4.52,136.8,0.01095,-1.276
25.9,0.2158,3.48,173.0,0.01434,-0.018
27.63,0.1312,4.37,148.0,0.01097,-0.902
22.33,0.2525,3.36,153.8,0.0174,0.511
26.93,0.2441,3.76,165.0,0.00901,-0.066
22.74,0.2216,3.7,163.6,0.00824,-0.04
26.2,0.1396,4.08,143.8,0.01778,-0.719
26.01,0.2101,3.8,167.5,0.01003,-0.263
21.92,0.2348,3.59,188.6,0.01411,0.382
18.21,0.2903,3.1,154.1,0.01078,0.833
23.71,0.1473,3.92,184.1,0.01523,-0.327
22.55,0.1804,4.18,142.8,0.01177,-0.287
20.97,0.235,3.48,205.8,0.01725,0.404
35.58,0.05,3.8,158.8,0.01152,-1.55
20.09,0.2479,3.13,173.7,0.01939,0.616
26.82,0.1839,3.42,136.6,0.01146,-0.44
23.17,0.2525,3.0,170.9,0.0236,0.547
24.46,0.1094,3.08,168.4,0.0124,-0.282
33.15,0.05,4.55,163.7,0.01519,-1.593
33.33,0.102,4.15,156.6,0.01442,-1.313
24.63,0.2253,3.59,151.4,0.01228,-0.051
